City,Commute_Route,Commute_Distance_miles,Commute_Time_mins,Mode_of_Commute,Daily_Cost,Monthly_Cost,Cost_per_Mile,Value_Tier,Carbon_Impact,Best_Value_Rank,Worst_Value_Reason,Avg_Delay_mins,Commute_Type
Bristol,Weston-super-Mare - Bristol,12.1,51,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Edinburgh,Dunfermline - Edinburgh,42.5,64,Train,11.3,248.6,0.27,Cost-Effective,9.6,2,N/A,15,Intercity
Liverpool,St Helens - Liverpool,10.3,23,Train,16.41,361.02,1.59,Expensive,13.1,3,Long duration,5,Suburban
London,Reading - London,38.6,63,Train,31.98,703.56,0.83,Expensive,13.4,5,High fare,16,Intercity
Edinburgh,Dunfermline - Edinburgh,28.6,23,Train,26.95,592.9,0.94,Expensive,14.9,4,Long duration,19,Intercity
Nottingham,West Bridgford - Nottingham,39.9,60,Train,29.09,639.98,0.73,Expensive,15.6,4,Long duration,4,Intercity
Sheffield,Rotherham - Sheffield,11.4,14,Train,17.4,382.8,1.53,Expensive,15.3,4,Congestion,12,Suburban
Leeds,Wakefield - Leeds,44.7,66,Train,12.98,285.56,0.29,Cost-Effective,12,1,N/A,1,Intercity
Bristol,Bath - Bristol,37,58,Train,31.99,703.78,0.86,Expensive,14.2,4,High fare,17,Intercity
Bristol,Bath - Bristol,12.5,10,Driving,10.98,241.56,0.88,Expensive,12.3,5,Congestion,9,Suburban
Manchester,Stockport - Manchester,27.2,26,Train,14.47,318.34,0.53,Moderate,11.1,3,Moderate fare,20,Intercity
Glasgow,Paisley - Glasgow,40.1,103,Bus,7.98,175.56,0.2,Expensive,3.5,3,Long duration,10,Intercity
Leeds,Bradford - Leeds,22.9,52,Driving,14.3,314.6,0.62,Moderate,9.1,3,Mild delays,15,Intercity
Bristol,Weston-super-Mare - Bristol,21.5,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Sheffield,Chesterfield - Sheffield,32.8,142,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Nottingham,Beeston - Nottingham,8.7,10,Train,27.65,608.3,3.18,Expensive,12.8,3,High fare,20,Suburban
Edinburgh,Livingston - Edinburgh,30.7,93,Bus,5.37,118.14,0.17,Expensive,4.2,3,High fare,16,Intercity
London,Croydon - London,29.1,49,Driving,15.47,340.34,0.53,Moderate,12.4,2,Mild delays,3,Intercity
Manchester,Altrincham - Manchester,15.8,23,Train,12.31,270.82,0.78,Expensive,8.6,4,Long duration,17,Intercity
Birmingham,Solihull - Birmingham,18.4,40,Train,33.55,738.1,1.82,Expensive,15.1,5,High fare,2,Intercity
Manchester,Stockport - Manchester,36.5,27,Train,14.42,317.24,0.4,Cost-Effective,11.3,2,N/A,1,Intercity
Bristol,Bath - Bristol,22.4,54,Driving,7.24,159.28,0.32,Cost-Effective,7.8,2,N/A,20,Intercity
Birmingham,Solihull - Birmingham,28.9,60,Driving,11.9,261.8,0.41,Moderate,11.1,2,Mild delays,13,Intercity
Liverpool,St Helens - Liverpool,36.4,151,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Bristol,Weston-super-Mare - Bristol,9.7,33,Driving,11.37,250.14,1.17,Expensive,10.6,5,Long duration,20,Suburban
London,Reading - London,28.5,39,Train,15.53,341.66,0.54,Moderate,11.6,4,Moderate fare,12,Intercity
Sheffield,Chesterfield - Sheffield,18.4,30,Driving,13.25,291.5,0.72,Expensive,8.4,5,High fare,5,Intercity
Liverpool,Birkenhead - Liverpool,42.6,139,Bus,3.56,78.32,0.08,Expensive,3.7,4,High fare,1,Intercity
Glasgow,Paisley - Glasgow,39.9,56,Train,34.08,749.76,0.85,Expensive,12.6,3,Long duration,8,Intercity
Nottingham,Beeston - Nottingham,24.3,101,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
London,Reading - London,10.3,17,Train,24.89,547.58,2.42,Expensive,12.4,4,Long duration,9,Suburban
Edinburgh,Dunfermline - Edinburgh,34.2,47,Train,32.97,725.34,0.96,Expensive,9.6,5,Congestion,8,Intercity
Sheffield,Rotherham - Sheffield,29.4,48,Train,29.71,653.62,1.01,Expensive,17.6,3,Congestion,17,Intercity
Leeds,Bradford - Leeds,7.8,14,Bus,2.34,51.48,0.3,Cost-Effective,3.1,2,N/A,0,Urban
Leeds,Bradford - Leeds,15.5,35,Driving,9.49,208.78,0.61,Moderate,8.2,2,Moderate fare,15,Intercity
Sheffield,Chesterfield - Sheffield,35.4,139,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Manchester,Stockport - Manchester,23,29,Train,11.88,261.36,0.52,Moderate,17.1,3,Moderate fare,8,Intercity
London,Croydon - London,10.6,31,Bus,5.19,114.18,0.49,Moderate,3.6,3,Mild delays,17,Suburban
Glasgow,East Kilbride - Glasgow,18.9,30,Train,26.81,589.82,1.42,Expensive,17.4,3,Congestion,18,Intercity
Glasgow,Paisley - Glasgow,7.1,11,Train,22.56,496.32,3.18,Expensive,10.6,4,Congestion,9,Urban
Liverpool,St Helens - Liverpool,34.2,40,Train,26.96,593.12,0.79,Expensive,12.6,5,Congestion,5,Intercity
Liverpool,St Helens - Liverpool,43.9,71,Train,28.26,621.72,0.64,Moderate,11.5,4,Moderate fare,0,Intercity
Nottingham,West Bridgford - Nottingham,9.6,14,Driving,9.51,209.22,0.99,Expensive,12.8,3,Congestion,7,Suburban
Sheffield,Chesterfield - Sheffield,27.4,74,Bus,5.14,113.08,0.19,Cost-Effective,2.5,1,N/A,14,Intercity
Liverpool,Birkenhead - Liverpool,39.4,75,Driving,15.91,350.02,0.4,Cost-Effective,10.3,2,N/A,0,Intercity
London,Reading - London,8.3,34,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Edinburgh,Dunfermline - Edinburgh,23.3,22,Train,38.37,844.14,1.65,Expensive,16.5,4,Long duration,18,Intercity
Manchester,Stockport - Manchester,31.8,62,Driving,12.47,274.34,0.39,Cost-Effective,9.3,2,N/A,20,Intercity
Sheffield,Chesterfield - Sheffield,31,82,Bus,5.08,111.76,0.16,Cost-Effective,5.2,2,N/A,3,Intercity
Sheffield,Chesterfield - Sheffield,23.4,71,Bus,2.31,50.82,0.1,Cost-Effective,5.1,2,N/A,2,Intercity
Glasgow,Paisley - Glasgow,13.1,12,Train,19.91,438.02,1.52,Expensive,15.6,3,High fare,2,Suburban
Nottingham,Beeston - Nottingham,25.8,33,Train,16.15,355.3,0.63,Moderate,16.8,4,Moderate fare,8,Intercity
Glasgow,Paisley - Glasgow,40.2,157,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Edinburgh,Livingston - Edinburgh,23,52,Driving,19.79,435.38,0.86,Expensive,12.2,5,High fare,20,Intercity
London,Reading - London,6.1,11,Driving,18.73,412.06,3.07,Expensive,10.3,3,Congestion,13,Urban
Glasgow,East Kilbride - Glasgow,24.9,40,Driving,7.48,164.56,0.3,Cost-Effective,11.3,2,N/A,12,Intercity
London,Slough - London,37.9,91,Driving,19.5,429,0.51,Expensive,7.6,3,Congestion,11,Intercity
Nottingham,Beeston - Nottingham,25.9,44,Driving,10.02,220.44,0.39,Cost-Effective,12.3,1,N/A,7,Intercity
Birmingham,Wolverhampton - Birmingham,28.1,54,Train,21.88,481.36,0.78,Expensive,17.2,4,Long duration,19,Intercity
Bristol,Bath - Bristol,26.3,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Manchester,Altrincham - Manchester,11.3,34,Driving,10.43,229.46,0.92,Expensive,12.9,3,Long duration,1,Suburban
Manchester,Altrincham - Manchester,41.2,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Liverpool,St Helens - Liverpool,16.1,25,Driving,18.52,407.44,1.15,Expensive,11.2,3,Long duration,3,Intercity
Birmingham,Wolverhampton - Birmingham,11.1,16,Driving,12.16,267.52,1.1,Expensive,10.9,5,Congestion,15,Suburban
Liverpool,St Helens - Liverpool,8.3,18,Driving,13.07,287.54,1.57,Expensive,13.7,3,High fare,13,Suburban
Glasgow,Paisley - Glasgow,21.7,46,Driving,19.78,435.16,0.91,Expensive,11.3,4,Long duration,12,Intercity
Birmingham,Solihull - Birmingham,30.4,33,Train,10.38,228.36,0.34,Cost-Effective,13.6,2,N/A,20,Intercity
Leeds,Wakefield - Leeds,26.1,74,Bus,6.32,139.04,0.24,Cost-Effective,5.6,2,N/A,17,Intercity
Leeds,Bradford - Leeds,8.2,12,Bus,7.15,157.3,0.87,Expensive,5.3,5,Long duration,0,Suburban
Edinburgh,Dunfermline - Edinburgh,26.6,45,Train,31.31,688.82,1.18,Expensive,11.1,5,Congestion,20,Intercity
Liverpool,St Helens - Liverpool,23.8,68,Bus,4.15,91.3,0.17,Cost-Effective,4,2,N/A,3,Intercity
Manchester,Altrincham - Manchester,38.1,91,Driving,10.69,235.18,0.28,Expensive,7.4,4,Congestion,6,Intercity
Birmingham,Solihull - Birmingham,33.5,60,Driving,10.87,239.14,0.32,Cost-Effective,9.6,1,N/A,20,Intercity
Leeds,Wakefield - Leeds,35,98,Bus,5.91,130.02,0.17,Expensive,4.5,3,Congestion,5,Intercity
Liverpool,St Helens - Liverpool,19.1,36,Driving,19.71,433.62,1.03,Expensive,11.1,4,High fare,5,Intercity
Manchester,Stockport - Manchester,10.1,48,Bus,6.06,133.32,0.6,Moderate,3.3,4,Mild delays,0,Suburban
Liverpool,St Helens - Liverpool,32.5,60,Driving,17.72,389.84,0.55,Moderate,8.2,2,Mild delays,4,Intercity
Liverpool,Birkenhead - Liverpool,30.7,99,Bus,6.16,135.52,0.2,Expensive,4.1,4,Congestion,14,Intercity
Glasgow,Paisley - Glasgow,17.2,36,Train,38.15,839.3,2.22,Expensive,16.7,3,Long duration,4,Intercity
Birmingham,Wolverhampton - Birmingham,35.6,40,Train,33.65,740.3,0.95,Expensive,14.6,4,High fare,20,Intercity
Nottingham,Beeston - Nottingham,15.4,25,Train,26.81,589.82,1.74,Expensive,9.1,5,Long duration,2,Intercity
Birmingham,Solihull - Birmingham,22.9,78,Bus,4.76,104.72,0.21,Cost-Effective,5.5,2,N/A,6,Intercity
Leeds,Wakefield - Leeds,26.9,42,Train,13.32,293.04,0.5,Moderate,12.2,2,Moderate fare,3,Intercity
Manchester,Stockport - Manchester,6.7,12,Driving,16.36,359.92,2.44,Expensive,13.3,5,Long duration,7,Urban
Edinburgh,Dunfermline - Edinburgh,16.2,60,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Birmingham,Solihull - Birmingham,41.4,91,Driving,16.56,364.32,0.4,Expensive,12.4,5,Long duration,0,Intercity
Glasgow,East Kilbride - Glasgow,5.7,30,Bus,3.69,81.18,0.65,Moderate,5.5,4,Mild delays,5,Urban
Manchester,Altrincham - Manchester,9.5,10,Train,31.11,684.42,3.27,Expensive,13.4,5,Long duration,4,Suburban
London,Reading - London,8.9,10,Bus,5.59,122.98,0.63,Moderate,3.2,2,Moderate fare,8,Suburban
Sheffield,Rotherham - Sheffield,17,30,Driving,16.4,360.8,0.96,Expensive,6.4,5,High fare,16,Intercity
London,Croydon - London,41.1,87,Driving,14.31,314.82,0.35,Cost-Effective,13.1,1,N/A,9,Intercity
Sheffield,Chesterfield - Sheffield,12.4,58,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Leeds,Wakefield - Leeds,8.2,35,Bus,2.21,48.62,0.27,Cost-Effective,4.3,1,N/A,4,Suburban
Edinburgh,Livingston - Edinburgh,44.8,124,Bus,7.13,156.86,0.16,Expensive,4.1,3,Long duration,16,Intercity
Birmingham,Solihull - Birmingham,7.5,19,Driving,7.61,167.42,1.01,Expensive,6.8,3,High fare,1,Urban
Birmingham,Wolverhampton - Birmingham,41.4,73,Train,30.08,661.76,0.73,Expensive,16.3,4,Congestion,5,Intercity
Manchester,Altrincham - Manchester,40.2,66,Train,22.91,504.02,0.57,Moderate,11.2,4,Moderate fare,1,Intercity
London,Reading - London,22.4,60,Train,33.22,730.84,1.48,Expensive,14,3,High fare,2,Intercity
Manchester,Altrincham - Manchester,40.7,106,Driving,14.84,326.48,0.36,Expensive,10.7,3,Congestion,4,Intercity
Nottingham,West Bridgford - Nottingham,33.1,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Nottingham,Beeston - Nottingham,14.5,12,Train,21.54,473.88,1.49,Expensive,12.9,4,Congestion,17,Suburban
London,Slough - London,31.1,46,Train,38.52,847.44,1.24,Expensive,14,5,High fare,6,Intercity
Glasgow,Paisley - Glasgow,34.7,74,Train,12.13,266.86,0.35,Cost-Effective,10.5,2,N/A,2,Intercity
Glasgow,East Kilbride - Glasgow,19.5,40,Driving,12.61,277.42,0.65,Moderate,6.4,2,Moderate fare,17,Intercity
Liverpool,St Helens - Liverpool,10.6,18,Driving,8.75,192.5,0.83,Expensive,10.9,3,Long duration,11,Suburban
London,Reading - London,16.2,17,Bus,3.24,71.28,0.2,Cost-Effective,4.1,1,N/A,12,Intercity
Bristol,Weston-super-Mare - Bristol,5.2,18,Train,27.16,597.52,5.22,Expensive,13.1,5,High fare,15,Urban
Bristol,Bath - Bristol,16.7,41,Bus,7.59,166.98,0.45,Moderate,3.6,3,Moderate fare,14,Intercity
Nottingham,West Bridgford - Nottingham,8.5,10,Train,20.36,447.92,2.4,Expensive,13.1,4,Long duration,16,Suburban
Liverpool,Birkenhead - Liverpool,40,83,Driving,12.91,284.02,0.32,Cost-Effective,11.6,2,N/A,16,Intercity
Liverpool,St Helens - Liverpool,44.7,174,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Birmingham,Solihull - Birmingham,20.8,24,Train,22.65,498.3,1.09,Expensive,12.1,4,Long duration,14,Intercity
Sheffield,Rotherham - Sheffield,41.3,69,Train,19.28,424.16,0.47,Moderate,16.2,2,Mild delays,18,Intercity
Manchester,Stockport - Manchester,43.2,152,Bus,6.93,152.46,0.16,Expensive,2,4,Congestion,3,Intercity
Liverpool,Birkenhead - Liverpool,30.5,93,Bus,6.12,134.64,0.2,Expensive,2.5,5,Long duration,0,Intercity
London,Croydon - London,20.4,51,Bus,4.74,104.28,0.23,Cost-Effective,3.5,2,N/A,14,Intercity
Sheffield,Chesterfield - Sheffield,9.8,29,Train,12.13,266.86,1.24,Expensive,8.8,4,Long duration,13,Suburban
Sheffield,Rotherham - Sheffield,19.2,32,Driving,19.18,421.96,1,Expensive,11.3,4,Congestion,11,Intercity
Glasgow,Paisley - Glasgow,32.1,113,Bus,2.06,45.32,0.06,Expensive,4.5,4,Long duration,7,Intercity
Manchester,Stockport - Manchester,41.5,44,Train,28.38,624.36,0.68,Moderate,16.7,3,Moderate fare,15,Intercity
Birmingham,Wolverhampton - Birmingham,34,51,Train,14.26,313.72,0.42,Moderate,8.1,3,Mild delays,20,Intercity
Manchester,Altrincham - Manchester,21.9,25,Train,18.85,414.7,0.86,Expensive,12.9,4,High fare,4,Intercity
Nottingham,Beeston - Nottingham,28.1,32,Driving,16.21,356.62,0.58,Moderate,11.2,3,Moderate fare,14,Intercity
Leeds,Bradford - Leeds,38.8,65,Train,30.77,676.94,0.79,Expensive,12.3,3,Long duration,20,Intercity
Sheffield,Chesterfield - Sheffield,31.9,38,Train,33.67,740.74,1.06,Expensive,12.5,3,Congestion,15,Intercity
Sheffield,Chesterfield - Sheffield,36.9,44,Train,34.67,762.74,0.94,Expensive,16.6,4,High fare,14,Intercity
London,Reading - London,41.7,44,Train,27.47,604.34,0.66,Moderate,11.7,4,Moderate fare,6,Intercity
Edinburgh,Livingston - Edinburgh,29,76,Bus,6.23,137.06,0.21,Cost-Effective,4.8,1,N/A,13,Intercity
London,Croydon - London,20,36,Driving,8,176,0.4,Cost-Effective,13.1,1,N/A,1,Intercity
Liverpool,Birkenhead - Liverpool,18.8,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
London,Slough - London,11.2,45,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Bristol,Weston-super-Mare - Bristol,30.5,59,Driving,10.77,236.94,0.35,Cost-Effective,6.6,2,N/A,5,Intercity
Sheffield,Chesterfield - Sheffield,21.4,56,Driving,14.48,318.56,0.68,Moderate,8.9,2,Moderate fare,0,Intercity
Bristol,Weston-super-Mare - Bristol,13.7,140,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Manchester,Altrincham - Manchester,44.5,111,Driving,7.97,175.34,0.18,Expensive,9.9,4,Long duration,17,Intercity
Edinburgh,Livingston - Edinburgh,6.1,10,Train,25.16,553.52,4.12,Expensive,17.6,3,Long duration,10,Urban
Bristol,Weston-super-Mare - Bristol,20.4,27,Driving,6.33,139.26,0.31,Cost-Effective,12,1,N/A,12,Intercity
Manchester,Stockport - Manchester,23.3,42,Driving,10.05,221.1,0.43,Moderate,13.2,2,Moderate fare,16,Intercity
Bristol,Weston-super-Mare - Bristol,9.6,13,Train,36.65,806.3,3.82,Expensive,14,5,High fare,17,Suburban
Birmingham,Solihull - Birmingham,38.1,78,Driving,19.78,435.16,0.52,Moderate,8.3,2,Mild delays,11,Intercity
Sheffield,Rotherham - Sheffield,43.4,49,Train,20.21,444.62,0.47,Moderate,13.4,2,Moderate fare,7,Intercity
Liverpool,St Helens - Liverpool,11.2,104,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Birmingham,Solihull - Birmingham,27.1,124,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Leeds,Wakefield - Leeds,38.3,59,Train,23.21,510.62,0.61,Moderate,11,3,Moderate fare,12,Intercity
Manchester,Altrincham - Manchester,15.4,15,Driving,19.53,429.66,1.27,Expensive,10.5,5,High fare,16,Intercity
Leeds,Bradford - Leeds,18.9,19,Train,27.41,603.02,1.45,Expensive,9.4,3,Congestion,1,Intercity
Birmingham,Wolverhampton - Birmingham,22.8,43,Driving,11.62,255.64,0.51,Moderate,14,2,Moderate fare,12,Intercity
Liverpool,St Helens - Liverpool,40.2,108,Driving,14.73,324.06,0.37,Expensive,10.6,5,High fare,14,Intercity
London,Croydon - London,29.8,54,Driving,6.55,144.1,0.22,Cost-Effective,9.8,1,N/A,9,Intercity
Birmingham,Wolverhampton - Birmingham,26.7,38,Driving,9.19,202.18,0.34,Cost-Effective,13.7,2,N/A,13,Intercity
Edinburgh,Dunfermline - Edinburgh,41.4,64,Train,36.1,794.2,0.87,Expensive,9.3,4,Congestion,7,Intercity
Birmingham,Wolverhampton - Birmingham,36.6,94,Driving,7.75,170.5,0.21,Expensive,12.4,4,Long duration,12,Intercity
Nottingham,West Bridgford - Nottingham,16,30,Driving,19.73,434.06,1.23,Expensive,9.9,4,High fare,1,Intercity
Birmingham,Solihull - Birmingham,39.5,64,Driving,14.24,313.28,0.36,Cost-Effective,9,1,N/A,14,Intercity
Nottingham,West Bridgford - Nottingham,16.4,40,Driving,11.41,251.02,0.7,Moderate,10.1,4,Mild delays,1,Intercity
Glasgow,East Kilbride - Glasgow,24.7,40,Driving,14.08,309.76,0.57,Moderate,12.9,2,Moderate fare,11,Intercity
Leeds,Wakefield - Leeds,44.2,180,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Liverpool,Birkenhead - Liverpool,35.6,101,Bus,5.44,119.68,0.15,Expensive,5.8,3,High fare,18,Intercity
Birmingham,Solihull - Birmingham,13,39,Driving,18.5,407,1.42,Expensive,6.5,3,Long duration,10,Suburban
Liverpool,St Helens - Liverpool,40.3,117,Bus,4.69,103.18,0.12,Expensive,4,4,High fare,8,Intercity
Glasgow,Paisley - Glasgow,30.1,64,Train,31.68,696.96,1.05,Expensive,14.9,3,Long duration,8,Intercity
Leeds,Wakefield - Leeds,10.4,119,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
London,Croydon - London,17,47,Driving,9.9,217.8,0.58,Moderate,7.7,3,Moderate fare,12,Intercity
Nottingham,Beeston - Nottingham,43.3,80,Driving,6.12,134.64,0.14,Cost-Effective,14,2,N/A,5,Intercity
Bristol,Weston-super-Mare - Bristol,32.1,42,Train,10.43,229.46,0.32,Cost-Effective,15.4,1,N/A,17,Intercity
Leeds,Bradford - Leeds,38.4,66,Train,32.21,708.62,0.84,Expensive,9.4,3,Long duration,11,Intercity
Birmingham,Solihull - Birmingham,35.1,78,Driving,16.73,368.06,0.48,Moderate,12.8,4,Moderate fare,9,Intercity
Liverpool,St Helens - Liverpool,29.5,106,Bus,2.53,55.66,0.09,Expensive,4,4,Congestion,13,Intercity
London,Slough - London,8.1,10,Bus,2.4,52.8,0.3,Cost-Effective,3.4,1,N/A,10,Suburban
Edinburgh,Dunfermline - Edinburgh,9.4,10,Driving,17.32,381.04,1.84,Expensive,13.6,5,High fare,13,Suburban
Bristol,Bath - Bristol,7.9,24,Bus,3.8,83.6,0.48,Moderate,2.3,2,Mild delays,18,Urban
Edinburgh,Dunfermline - Edinburgh,25,57,Driving,17.12,376.64,0.68,Moderate,11.7,3,Mild delays,16,Intercity
Edinburgh,Livingston - Edinburgh,7,12,Driving,10.13,222.86,1.45,Expensive,7.9,4,Congestion,5,Urban
Birmingham,Wolverhampton - Birmingham,16.2,23,Driving,17.25,379.5,1.06,Expensive,13.4,3,Long duration,11,Intercity
Liverpool,St Helens - Liverpool,21.2,59,Bus,4.86,106.92,0.23,Cost-Effective,2.9,2,N/A,9,Intercity
Nottingham,West Bridgford - Nottingham,30.6,68,Driving,19.71,433.62,0.64,Moderate,10.8,3,Moderate fare,9,Intercity
London,Croydon - London,19.3,20,Train,36.66,806.52,1.9,Expensive,13,4,Long duration,6,Intercity
Birmingham,Solihull - Birmingham,23,37,Train,27.58,606.76,1.2,Expensive,14.2,5,Long duration,19,Intercity
Glasgow,East Kilbride - Glasgow,7.9,10,Train,31.42,691.24,3.98,Expensive,16.2,3,Long duration,10,Urban
Leeds,Bradford - Leeds,37.2,123,Bus,5.32,117.04,0.14,Expensive,4.1,5,Congestion,16,Intercity
London,Croydon - London,10.7,21,Bus,4.98,109.56,0.47,Moderate,3.1,3,Mild delays,9,Suburban
Edinburgh,Livingston - Edinburgh,10.4,50,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Birmingham,Wolverhampton - Birmingham,30.2,52,Driving,9.87,217.14,0.33,Cost-Effective,11.7,1,N/A,13,Intercity
Bristol,Weston-super-Mare - Bristol,7.5,11,Train,35.18,773.96,4.69,Expensive,8,3,Congestion,19,Urban
Bristol,Bath - Bristol,14.9,13,Train,13.06,287.32,0.88,Expensive,11.6,5,Congestion,11,Suburban
Sheffield,Rotherham - Sheffield,15.8,64,Bus,7.06,155.32,0.45,Moderate,3.3,3,Mild delays,17,Intercity
Glasgow,Paisley - Glasgow,36.6,71,Driving,18.74,412.28,0.51,Moderate,9,4,Mild delays,3,Intercity
Bristol,Weston-super-Mare - Bristol,43.6,144,Bus,2.54,55.88,0.06,Expensive,4.7,5,Congestion,10,Intercity
Manchester,Altrincham - Manchester,24.8,114,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Birmingham,Solihull - Birmingham,33.2,119,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Nottingham,Beeston - Nottingham,5.2,13,Train,29.99,659.78,5.77,Expensive,17.7,5,Congestion,7,Urban
Leeds,Bradford - Leeds,35.4,44,Train,38.52,847.44,1.09,Expensive,15,3,Congestion,19,Intercity
Sheffield,Chesterfield - Sheffield,16.9,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Edinburgh,Dunfermline - Edinburgh,30.8,88,Bus,2.29,50.38,0.07,Cost-Effective,3.4,2,N/A,10,Intercity
Birmingham,Wolverhampton - Birmingham,43.3,87,Bus,4.75,104.5,0.11,Cost-Effective,2.8,1,N/A,14,Intercity
Edinburgh,Livingston - Edinburgh,19.7,59,Bus,4.22,92.84,0.21,Cost-Effective,2.2,2,N/A,15,Intercity
Bristol,Bath - Bristol,35.7,65,Train,35.51,781.22,0.99,Expensive,10.1,5,High fare,11,Intercity
Birmingham,Wolverhampton - Birmingham,31.3,43,Train,24.17,531.74,0.77,Expensive,16.8,3,Congestion,2,Intercity
Birmingham,Wolverhampton - Birmingham,13.6,30,Train,18.86,414.92,1.39,Expensive,9.4,3,Congestion,14,Suburban
Birmingham,Solihull - Birmingham,31.1,117,Bus,6.43,141.46,0.21,Expensive,3.3,5,Congestion,7,Intercity
Liverpool,Birkenhead - Liverpool,30.8,80,Driving,8.79,193.38,0.29,Cost-Effective,13.1,2,N/A,9,Intercity
Liverpool,Birkenhead - Liverpool,16.5,23,Driving,11.15,245.3,0.68,Moderate,6.5,4,Moderate fare,6,Intercity
London,Reading - London,9.5,20,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Bristol,Weston-super-Mare - Bristol,38.4,58,Train,10.44,229.68,0.27,Cost-Effective,11.8,2,N/A,8,Intercity
Nottingham,Beeston - Nottingham,18.5,25,Train,22.13,486.86,1.2,Expensive,13.3,5,Congestion,14,Intercity
Bristol,Bath - Bristol,28.8,25,Driving,6.14,135.08,0.21,Cost-Effective,9.7,1,N/A,15,Intercity
Leeds,Bradford - Leeds,43.5,160,Bus,3.87,85.14,0.09,Expensive,5.1,3,High fare,9,Intercity
Bristol,Bath - Bristol,35.9,110,Bus,5.13,112.86,0.14,Expensive,5.9,5,Long duration,8,Intercity
London,Croydon - London,10,12,Train,17.97,395.34,1.8,Expensive,8.2,5,Long duration,19,Suburban
Manchester,Altrincham - Manchester,16.7,26,Train,33.19,730.18,1.99,Expensive,13.2,5,Long duration,16,Intercity
Edinburgh,Dunfermline - Edinburgh,18.9,85,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Manchester,Altrincham - Manchester,44,111,Bus,7.08,155.76,0.16,Expensive,2.1,4,Congestion,3,Intercity
Glasgow,Paisley - Glasgow,40.9,68,Train,23.74,522.28,0.58,Moderate,12,4,Mild delays,2,Intercity
Glasgow,Paisley - Glasgow,17.1,32,Train,11.97,263.34,0.7,Moderate,10.3,2,Moderate fare,3,Intercity
Manchester,Altrincham - Manchester,14.9,76,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Sheffield,Chesterfield - Sheffield,24,46,Driving,6.81,149.82,0.28,Cost-Effective,13.7,2,N/A,8,Intercity
Birmingham,Wolverhampton - Birmingham,42.7,136,Bus,2.45,53.9,0.06,Expensive,3.5,3,Long duration,0,Intercity
Nottingham,West Bridgford - Nottingham,14,21,Train,15.87,349.14,1.13,Expensive,9.4,4,High fare,1,Suburban
Liverpool,Birkenhead - Liverpool,29.9,48,Train,14.41,317.02,0.48,Moderate,16.1,2,Moderate fare,8,Intercity
Birmingham,Solihull - Birmingham,30.4,59,Train,21.64,476.08,0.71,Expensive,14.7,5,Congestion,1,Intercity
Edinburgh,Dunfermline - Edinburgh,15.4,67,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Sheffield,Chesterfield - Sheffield,16.6,30,Driving,12.58,276.76,0.76,Expensive,13.1,4,Congestion,13,Intercity
Leeds,Bradford - Leeds,33.3,53,Driving,19.41,427.02,0.58,Moderate,10.2,3,Mild delays,10,Intercity
London,Croydon - London,14.7,27,Driving,13.01,286.22,0.89,Expensive,11.4,3,High fare,4,Suburban
Bristol,Weston-super-Mare - Bristol,8,20,Train,23.79,523.38,2.97,Expensive,13.5,4,High fare,6,Urban
Leeds,Wakefield - Leeds,22.3,57,Bus,2.26,49.72,0.1,Cost-Effective,2.7,1,N/A,12,Intercity
Leeds,Wakefield - Leeds,22.8,75,Bus,3.45,75.9,0.15,Cost-Effective,5.8,2,N/A,8,Intercity
Manchester,Stockport - Manchester,12.9,23,Train,38.54,847.88,2.99,Expensive,17.9,5,Long duration,16,Suburban
